[2019-10-08 오전 9:00:09] 피봇1차이상 상승 : 900100	뉴프라이드
[2019-10-08 오전 9:06:04] 종목(중복) :	096630
[2019-10-08 오전 9:06:07] 종목(중복) :	043220
[2019-10-08 오전 9:06:09] 종목(중복) :	033110
[2019-10-08 오전 9:06:10] 종목(중복) :	900100
[2019-10-08 오전 9:06:11] 종목(중복) :	043220
[2019-10-08 오전 9:06:15] 종목(중복) :	043220
[2019-10-08 오전 9:06:15] 종목(중복) :	900100
[2019-10-08 오전 9:06:20] 종목(중복) :	900100
[2019-10-08 오전 9:06:20] 종목(중복) :	900100
[2019-10-08 오전 9:06:21] 종목(중복) :	043220
[2019-10-08 오전 9:06:22] 종목(중복) :	900100
[2019-10-08 오전 9:06:26] 종목(중복) :	900100
[2019-10-08 오전 9:06:27] 종목(중복) :	043220
[2019-10-08 오전 9:06:27] 종목(중복) :	088290
[2019-10-08 오전 9:06:32] 종목(중복) :	043220
[2019-10-08 오전 9:06:42] 종목(중복) :	043220
[2019-10-08 오전 9:06:43] 종목(중복) :	128540
[2019-10-08 오전 9:06:45] 종목(중복) :	128540
[2019-10-08 오전 9:06:47] 종목(중복) :	128540
[2019-10-08 오전 9:06:48] 종목(중복) :	128540
[2019-10-08 오전 9:07:01] 종목(중복) :	297570
[2019-10-08 오전 9:07:01] 종목(중복) :	033110
[2019-10-08 오전 9:07:01] 종목(중복) :	096630
[2019-10-08 오전 9:07:02] 종목(중복) :	900100
[2019-10-08 오전 9:07:06] 종목(중복) :	033170
[2019-10-08 오전 9:07:08] 종목(중복) :	033170
[2019-10-08 오전 9:07:09] 종목(중복) :	033170
[2019-10-08 오전 9:07:10] 종목(중복) :	033170
[2019-10-08 오전 9:07:10] 종목(중복) :	043220
[2019-10-08 오전 9:07:11] 종목(중복) :	096630
[2019-10-08 오전 9:07:14] 종목(중복) :	033170
[2019-10-08 오전 9:07:15] 종목(중복) :	033170
[2019-10-08 오전 9:07:18] 종목(중복) :	033170
[2019-10-08 오전 9:07:19] 종목(중복) :	033170
[2019-10-08 오전 9:07:20] 종목(중복) :	900270
[2019-10-08 오전 9:07:20] 종목(중복) :	033170
[2019-10-08 오전 9:07:24] 종목(중복) :	033170
[2019-10-08 오전 9:07:25] 종목(중복) :	005110
[2019-10-08 오전 9:07:26] 종목(중복) :	033170
[2019-10-08 오전 9:07:27] 종목(중복) :	005110
[2019-10-08 오전 9:07:28] 종목(중복) :	033170
[2019-10-08 오전 9:07:30] 종목(중복) :	033170
[2019-10-08 오전 9:07:31] 종목(중복) :	096630
[2019-10-08 오전 9:07:39] 종목(중복) :	096630
[2019-10-08 오전 9:07:43] 종목(중복) :	096630
[2019-10-08 오전 9:07:44] 종목(중복) :	096630
[2019-10-08 오전 9:07:46] 종목(중복) :	096630
[2019-10-08 오전 9:07:46] 종목(중복) :	900100
[2019-10-08 오전 9:07:48] 종목(중복) :	900100
[2019-10-08 오전 9:07:48] 종목(중복) :	005110
[2019-10-08 오전 9:07:49] 종목 :	204840	지엘팜텍
[2019-10-08 오전 9:07:49] 종목(중복) :	096630
[2019-10-08 오전 9:07:51] 종목(중복) :	096630
[2019-10-08 오전 9:07:53] 종목(중복) :	096630
[2019-10-08 오전 9:07:54] 종목(중복) :	096630
[2019-10-08 오전 9:07:58] 종목(중복) :	900100
[2019-10-08 오전 9:08:01] 종목(중복) :	096630
[2019-10-08 오전 9:08:01] 종목(중복) :	084650
[2019-10-08 오전 9:08:02] 종목(중복) :	297570
[2019-10-08 오전 9:08:03] 종목(중복) :	033170
[2019-10-08 오전 9:08:04] 종목(중복) :	204840
[2019-10-08 오전 9:08:07] 종목(중복) :	033180
[2019-10-08 오전 9:08:08] 종목(중복) :	033180
[2019-10-08 오전 9:08:09] 종목(중복) :	033180
[2019-10-08 오전 9:08:10] 종목(중복) :	033180
[2019-10-08 오전 9:08:11] 종목(중복) :	033180
[2019-10-08 오전 9:08:12] 종목(중복) :	033180
[2019-10-08 오전 9:08:13] 종목(중복) :	033170
[2019-10-08 오전 9:08:14] 종목(중복) :	033170
[2019-10-08 오전 9:08:17] 종목(중복) :	900270
[2019-10-08 오전 9:08:18] 종목(중복) :	096630
[2019-10-08 오전 9:08:19] 종목(중복) :	033170
[2019-10-08 오전 9:08:19] 종목(중복) :	096630
[2019-10-08 오전 9:08:20] 종목(중복) :	033170
[2019-10-08 오전 9:08:20] 종목(중복) :	096630
